,CRASH_HOUR,Month,Unnamed: 0,CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Year
71,5,12,19,19,1,19,19,19,19,19,19,19,19,17,19,19,19,19,19,3,1,5,19,19,19,19,19,19,19,19,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
72,6,1,11,11,2,11,11,11,11,11,11,11,11,10,11,11,11,11,11,3,1,1,11,11,11,11,11,11,11,11,0,1,0,0,0,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
73,6,2,14,14,2,14,14,14,14,14,14,14,14,13,14,14,14,14,14,4,0,5,14,14,14,14,14,14,14,14,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
74,6,3,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,1,2,10,10,10,10,10,10,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
75,6,4,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,2,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
76,6,5,9,9,0,9,9,9,9,9,9,9,9,8,9,9,9,9,9,2,0,2,9,9,9,9,9,9,9,9,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
77,6,6,17,17,1,17,17,17,17,17,17,17,17,16,17,17,17,17,17,6,1,5,17,17,17,17,17,17,17,17,1,1,0,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
78,6,7,19,19,1,19,19,19,19,19,19,19,19,16,19,19,19,19,19,5,0,3,19,19,19,19,19,19,19,19,0,1,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
79,6,8,18,18,4,18,18,18,18,18,18,18,18,18,18,18,18,17,18,1,0,8,18,18,18,18,18,18,18,18,0,2,0,1,1,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
80,6,9,31,31,5,31,31,31,31,31,31,31,31,23,31,31,31,31,31,6,3,13,31,31,31,31,31,31,31,31,1,0,0,1,0,0,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
81,6,10,21,21,1,21,21,21,21,21,21,21,21,18,21,21,21,21,21,5,1,8,21,21,21,21,21,21,21,21,1,0,0,0,0,0,21,20,20,20,20,20,20,20,20,21,21,21,21,21,21
82,6,11,27,27,3,27,27,27,27,27,27,27,27,23,27,27,27,27,27,7,0,5,27,27,27,27,27,27,27,27,0,1,0,0,0,0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
83,6,12,18,18,2,18,18,18,18,18,18,18,18,17,18,18,18,18,18,4,0,7,18,18,18,18,18,18,18,18,0,1,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
84,7,1,32,32,4,32,32,32,32,32,32,32,32,29,32,32,32,32,32,5,0,10,32,32,32,32,32,32,32,32,1,0,0,1,1,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
85,7,2,33,33,4,33,33,33,33,33,33,33,33,27,33,33,33,33,33,6,0,8,33,33,33,33,33,33,33,33,0,0,0,0,0,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
86,7,3,28,28,6,28,28,28,28,28,28,28,28,24,28,28,28,28,28,3,0,11,28,28,28,28,28,28,28,28,0,2,0,0,0,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
87,7,4,33,33,2,33,33,33,33,33,33,33,33,29,33,33,33,33,33,9,1,12,33,33,33,33,33,33,33,33,0,0,0,0,0,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
